Codigo;produto;QTD.;Vlr Unit.
28809; COLETE PUTTI ELASTICO BAIXO M;1;228
29002; COLETOR UNIVER C/50ML  COLET;55;1
35238; COLETOR UNIVERSAL 3B TRANSLUCI;96;1
23085; COLETOR UNIVERSAL 80ML;64;1
27172; COLETOR UNIVERSAL 80ML C/ 1 UN;8;1,5
35798; COLETOR UNIVERSAL ESTERIL 80 M;50;1
3964; COLETOR UNIVERSAL SEM CAIXA;482;1
27298; COLETOR URINA INFANTIL FEMININ;60;2
21143; COLFLEX BIO 30CAP;1;159
28616; COLFLEX MUSCULAR SCH C/30;1;324
24892; COLGATE CR DENT L3P2 SENSIT;1;38,5
17514; COLGATE PLAX INFINITY 250ML ZE;1;16
20793; COLHER PONTA SIL AZUL SPECIAL;1;15
27080; COLHER SILICONE LOLLY RS 4+;1;14
27476; COLIC CALM SUSP 59 ML;1;181
26570; COLICALIV GTS 30ML;1;124
13254; COLIKIDS GTS C/ 5 ML;1;123
23576; COLIRIO ACU FRESH 10ML GEOLAB;3;24,56
14805; COLIRIO GEOLAB 20ML ;5;10
35868; COLIRIO LEGRAND 20ML (BENZALCO;1;16,01
5746; COLIRIO TEUTO 20ML;1;8
17741; COLONIA EURO ESSENCE OLY 100ML;1;48,5
33650; COLONIA GELATTI NAMORATTI  SAB;1;31
26325; COLONIA GELLUS FLOT ORIGEM 255;1;18
15775; COLONIA KIDS GELLUS 300ML ROSA;3;19,5
31156; COLONIA PHYTODERM FEM CARINHO1;1;31
17740; COLONIA SILVER ESSENCE 100ML;1;48,5
9949; COLONIA TURM. XUXINHA C/120ML3;3;19
33591; COLONIA TURMA XUXINHA C/210ML;3;28
14796; COLONIA XUXINHA C/ 120 ML;3;19
36631; COLOR BIOCOLOR HOMEM BOZZANO 4;3;32,5
36632; COLOR BIOCOLOR HOMEM BOZZANO K;3;32,5
32899; COLOR PERFECT 08/0 LOURO CLARO;2;32
32167; COLOR PERFECT 6/1;4;32
32169; COLOR PERFECT 7/0 LOURO M;1;32
27128; COLOR SOFT COLOR 0080 LOURO CL;2;29
36633; COLOR SOFT COLOR KIT 0061 LOUR;3;26
33029; COLOR TOUCH 2/8 PRETO AZUL;3;32
34163; COLOR TOUCH 5.1 CAST.CL.ACINZE;1;32
33454; COLOR TOUCH 6.3 LOURO ESC.DOUR;4;32
33455; COLOR TOUCH 6.77 LOURO ESC.MAR;1;32
33031; COLOR TOUCH CR 60G 6/7 LOURO E;1;32
33779; COLOR TOUCH CR 60G 66/45 LOURO;2;32
33453; COLORACAO COLOR PERFECT 8.1 LO;1;32
3656; COLPIST MT CR VAG 40GR+APLIC;1;51,6
287; COLPISTATIN CREME VAG 40GR;2;63,13
33729; COLTRAX 2MG 3AMP 2ML;1;20,22
2989; COLTRAX 4MG C/20 COMP;1;74,06
26990; COMADRE PLASTICA  TAYLOR;2;50
3537; COMBIGAN COLIRIO 5ML;3;168,36
291; COMBIROM FOLICO C/45 DRAGEAS;4;49,94
10776; COMBODART C/ 30 CAPSULAS;3;166,11
36642; COMBTOL 5ML C 120 GOTAS;2;105,1
35919; COMP GAZE LIVIA 13F 7,5CMX;56;1
24524; COMPLEXO B 100 ML ;6;8
24875; COMPLEXO B C/50 AIRELA;2;15
36770; COMPLEXO B CONCENTRADO 20CPR (;5;18
32865; COMPRESSA DE GASE 11F EST. PCT;26;1
27109; COMPRESSA DE GAZE ECOMAX;58;1,5
27675; COMPRESSA GAZE EST 11FIOS C/10;869;1,5
34038; CON JABORANDIR BOTHANICO 250ML;3;38
26981; CONAZOL CREME 20MG;1;10
16780; CONCARDIO 1,25MG C/ 30 COMP;1;89,06
14597; CONCARDIO 10 MG C/30 COMP;5;142,48
13579; CONCARDIO 2,5MG C/ 30 COMP;1;75,78
16454; CONCOR 1,25MG C/ 30 COMP;1;82,84
16215; CONCOR 2,5MG 30CPR ;1;95,38
17542; CONCOR 5MG C/30 COMP;2;116,05
15774; COND ACQUA KIDS 250ML CAB CACH;3;16
3138; COND ACQUA KIDS LISO 250ML;1;16
23166; COND ACQUA KIDS MARSHMAL 250ML;2;16
23534; COND ACQUAKIDS ALGODAO 250ML;2;16
32052; COND AMEND  OLEOS GREGOS 300ML;1;55
16629; COND ANTICASPA BIO EXTRATUS 25;2;36
31500; COND ANTIFRIZZ 300ML;1;19,5
32626; COND ARGAN 300 ML;1;20
33358; COND BIO EXT  CRESPOS 250ML;1;35,01
33363; COND BIO EXT CACHOS 250ML;3;38
18119; COND BIO EXT POS COLO 250ML;2;35
25158; COND BIO EXTR.QUERAVIT 500ML;1;56
22441; COND BIO EXTRATUS CACHOS E CRE;1;35
10565; COND BIO EXTRATUS JABORA 500ML;4;53
33621; COND BIOEXTRATUS CAMOMILA 250M;2;38
34037; COND BOTHANICO ACID GLOSSS 300;3;48
24697; COND BOTHANICO BANANA 250ML;2;35
27693; COND CACHO 500ML NINGUEM SEGUR;1;28
6923; COND CLEAR ANTICASPA HID INTEN;1;22
17064; COND COCO SOS 300ML;3;22,5
31694; COND CRESCE FORTE CABEL 500ML;2;28
23440; COND DOVE BABY HID ENREQ CLARO;2;20
36451; COND ELSEVE 200ML COLLAGEN LIF;3;20
36452; COND ELSEVE 400ML COLLAGEN LIF;2;36
22978; COND ELSEVE 400ML LONGO DOS SO;1;33
12621; COND ELSEVE CAB DANIFICA 400ML;3;35
27974; COND ELSEVE CACHOS DOS SONHOS;3;35
25567; COND ELSEVE HIALURONICO 200ML;1;20
25608; COND ELSEVE HIDR HIALU 400ML;2;35
34259; COND ELSEVE LIS SONH 200ML;2;19
12920; COND ELSEVE OLEO EXT NUTR200ML;4;19
2544; COND ELSEVE REPARACAO TOTAL 5;7;19
25493; COND ENCORPA CABELO HASKELL;2;71
30167; COND EUDORA BABY 200ML;1;33
29423; COND EUDORA COMBETE FRIZ 200ML;1;48
29603; COND EUDORA HAIR/PLASTIA 200ML;2;48
18348; COND FORCA PIMENT BIO 1L;2;80
31836; COND GRANADO BEBE CAMOMI 250ML;3;18
4393; COND HASKEL CAV FORTE 300ML;1;50
10143; COND HASKELL BANANEIRA C/300ML;3;49,5
16743; COND HASKELL CACHOS 300ML;2;42,5
16742; COND HASKELL CAVALO FORTE 500M;1;70
10138; COND HASKELL MANDIOCA C/300ML;1;46
27358; COND HASKELL POS PROGRES 500ML;1;48
10139; COND HASKELL QUERATINA C/300ML;1;40
10140; COND HASKELL TUTANO C/300ML;3;46
29647; COND HIDR MICELAR EUDORA 200ML;2;48
29782; COND HIDRANUTRE;2;51
18604; COND HIDRAT PANTENE 175ML;2;17
28859; COND INF HALLEY 200ML;3;10
35248; COND INOAR 500ML ARGAN *;2;29
36336; COND INOAR 500ML CICATRIFIOS *;3;24
35844; COND INOAR 500ML LISO EXTRAORD;5;38
35249; COND INOAR 500ML MEU CACHO MEU;2;32,5
35250; COND INOAR 500ML MEU CACHO MEU;2;34
36067; COND INOAR 500ML RIVO FIOS ANT;4;35,01
12023; COND J&J REGULAR 400ML;2;44
2745; COND JABORANDI 250ML BIOEXTRAT;1;38
9988; COND JOHMSONS CHEI PROL 200ML;3;27
13516; COND JOHNSON BABY BRILHO 200ML;1;28,5
5444; COND JOHNSON BABY CAB CLAROS 2;1;27
18602; COND LISO EXT PANTENE 175ML;1;16,5
19209; COND LISO FORCA HASKELL 300ML;1;46
28528; COND LOLA MEU CAC MIN VID 500G;2;41
21557; COND MURUMURU 300ML;1;46
35194; COND NANE 220ML *;3;9,5
2965; COND NEUTRO 250ML BIOEXTRATUS;1;38
30579; COND NUTRI ROSE SIAGE;3;48
9761; COND OPUS POS QUIMICA 350ML;1;16
32003; COND OX VITA GLOW 240ML - MARI;5;24
36365; COND PALM NATURALS 350ML CERAM;2;10
36367; COND PALM NATURALS 350ML LISOS;2;10
22141; COND PANT 3 MINUT MILAGR 170ML;2;28
23647; COND PANT BAMBU 250ML;2;29,5
35195; COND PANTENE 0150ML BIOTINAMIN;3;16,5
36396; COND PANTENE 0150ML MOLECULAR;3;16,5
35196; COND PANTENE 0250ML BIOTINAMIN;2;29,5
23646; COND PANTENE BAMBU 150ML;3;16,5
18806; COND PANTENE BRI EXT 175ML ;3;17
14671; COND PANTENE CACHOS DEF 400ML;2;32,5
27102; COND PANTENE COLAGENO 250ML;2;29,5
14449; COND PANTENE HIDRAT 400ML;2;31
18805; COND PANTENE HIDROCAUT 175ML ;3;17
14450; COND PANTENE HIDROCAUT 400ML;2;31
14452; COND PANTENE LISO EXT 400ML;2;32,5
32006; COND PANTENE PR QUER 150ML;2;16,5
31556; COND PANTENE QUER 250ML;3;29,5
14454; COND PANTENE RESTAURAC 400ML;3;32,5
10701; COND POS PROGRESSIVA 300ML HAS;1;46
9095; COND QUERAVIT 250ML BIOEXTRATU;3;41
14499; COND QUINA ROSA 300ML;2;44,5
32728; COND REALCE DA COR COBRE AMEND;1;43
18605; COND RESTAURA PANTENE 175ML;2;17
20897; COND RIZON 1LT QUERATINA;1;21
31929; COND S/LINE 300ML BOMBA ULT HI;3;21,5
16230; COND SALON LINE BOMBA 300ML;2;21,5
16445; COND SALON LINE CACHOS 300ML;3;22,5
20788; COND SALON LINE SOS MEL 300ML;2;22,5
33615; COND SALON LISO 300ML ANTIPORO;2;19,5
34137; COND SE CURVE HASKELL 500ML;1;58,5
35197; COND SEDA 250ML TOQUE SEDA *;2;16
23107; COND SEDA 325ML CACHOS DEFINID;1;16
26485; COND SEDA 325ML MICELAR;1;16
23105; COND SEDA BABOSA OLEOS 325ML;2;16
25907; COND SEDA COLAGENO E VIT C;3;16
28241; COND SEDA OLEO ARGAN C/325ML;1;16
30584; COND SIAGE CAUT DOS FIOS 200ML;1;48
31287; COND SIAGE RECONSTROI FIOS 200;2;48
32514; COND SIAGE RESGATE IMEDIATO;1;48
29570; COND SL BOMBA FORCA ENGROS 300;2;20,5
32755; COND TIO NACHO ANTIG 415ML;2;45
19626; COND TIO NACHO ENCGROSSADOR;2;45
24808; COND TURMA XUXINHA CAB CACHEAD;3;13
24810; COND TURMA XUXINHA HORA DO SON;3;13
8135; COND TUTANO 250ML BIOEXTRATUS;3;39
5475; COND TUTANO 500ML BIOEXTRATUS;1;44
34195; COND TUTANO VEGANO AVOCADO 250;1;41
31660; COND VULT CACHOS 350ML;1;21
36525; COND. FRIZON 1LT CRESCE FORTE;2;21
36526; COND. FRIZON 1LT DISCIPLINANTE;2;21
31885; COND.HASKELL 300ML INFUSAO DE;1;51
31886; COND.OH MY! 300ML KIDS LISO;1;22
34994; COND.OX COLAGENO..240ML;3;27
29784; CONDICIONADOR CRESPO 300ML - O;1;21
23426; CONDICIONADOR ENCORPA CABELO 3;2;49,5
17057; CONDICIONADOR KIDS SOS SL 300M;3;22,5
22448; CONDICIONADOR LISO PERFEITO 32;2;16
34048; CONDICIONADOR MELACO DE CANA;3;40
35923; CONDICIONADOR NUTRICAO INTENSA;2;52
21804; CONDICIONADOR NUTRITIVO CACHOS;1;22,5
28511; CONDICIONADOR ORA PRO NOBIS 30;1;40
35981; CONDICIONADOR PANTENE 250ML BO;2;29,5
22243; CONDICIONADOR PRETOS LUMINOSOS;2;16
34039; CONDICIONADOR PROTEINAS DO LEI;3;37
27500; CONDICIONADOR RESTAURACAO INST;1;16
22762; CONDICIONADOR SEDA BOMBA 325M;1;16
33942; CONDICIONADOR SEDA LUMINOUS UV;3;16
35000; CONDICIONADOR SIAGE NUTRI ACI;1;48
26268; CONDICIONADOR TUTANO;3;37
33345; CONDICIONADOR VEM DE GLICOLICO;2;21
30749; CONDRIGEN 40MG, C/30 CPS;1;60
31430; CONDRIGEN ARTRO 30 SACHES;1;143
27226; CONDRIGEN COL TIPO II +HA  30C;1;120
32742; CONDRIGEN ULTRA TIPO II 30CPS;1;64
8177; CONTRACEP INJ 1AMP C/1ML;3;34,85
32671; COPO 360 OCEANO C/ALCA 250ML F;2;36
23160; COPO ANTI-VAZ. C/ ALCA ROSA 25;1;27
18137; COPO C/ALCA 250ML AZUL BL/1UN ;2;27
32674; COPO C/CANUDO ZOO 330ML 7194-0;2;33,5
20795; COPO CLEAN C BICO 150ML SILC;2;24
20796; COPO CLEAN C/BICO 150ML RS;3;24
20848; COPO CLEAN C/CANUDO 350ML;2;20,5
20849; COPO CLEAN C/CANUDO 350ML  RS ;4;20,5
32670; COPO TREINAMENTO LOLLY OCEANO;1;36
18981; COQUES 10CAP 200MG C1;3;50,23
16977; COR E TON 6.646 VERVELHO CEREJ;2;15,5
10966; COR&TON 9.0 LOURO CLARISSIMO;4;15,5
9500; CORDAREX 10MG C/30 COMP;1;62,56
6858; CORDAREX 2,5MG C/30 COMP;2;41,6
59; CORDAREX 5MG C/30 COMP;5;41,01
2038; COREGA PO 22G;1;23
11504; COREGA PO 50G ;2;48
29299; COREGA TABS LIMP ENV C/6 UNI ;2;9,5
32884; COREGA ULT TRIP AC 40G;1;56
9395; COREGA ULTRA  S/SABOR 19G;5;32
18489; COREGA ULTRA CR 8,5G;1;18
12694; COREGA ULTRA PO C/ 50G ;2;90
1415; CORISTINA D COMP ENV C/4;11;14
31534; CORISTINA D CONGEST C/4 COMP;16;8,92
9768; CORRETOR POSTURAL 8 TAM G/GG;2;71
25064; CORTADOR DE COMPRIMIDOS;2;10
36016; CORTADOR UNHA INFANTIL F 7310-;4;10,5
4532; CORTICORTEN (PREDINISONA) 5MG;9;10
1985; CORTICORTEN (PREDNISONA) 20MG;19;15,56
5809; CORTITOP (DEXAMETAZONA) CREME;16;6
10656; CORUS 25MG C/ 30 COMP;5;59,19
4988; CORUS 50MG C/30 COMP;53;15,85
6659; CORUS H 100/25MG C/30 COMP;4;163,77
5071; CORUS H 50/12.5MG C/30 COMP;3;81,6
9850; COSOPT 2%/0,5% 10ML;1;393,77
78; COTONETE JOHNSON C/75 UNID;9;7,5
296; COTONETES J&J C/150 UNID;2;18
12643; COTONETES JOHSON C/ 150 UNIDAD;3;14
8069; COTOVELEIRA TAM M MERCUR;2;42
28829; COTY BIOCOLOR HOMEM BOZZANO CA;1;32,5
34261; CP ELSEVE 250ML LISO DOS SONHO;3;20
33956; CP SL 1K ATIV CACH DEFINICAO N;1;37,5
33608; CP SL 500G KIDS CACHINHOS DEF;3;24
26028; CP.S.LINE SOS RICINO E QUER 1K;1;36,5
11470; CR ALIS HAIR CACHO E NATURAL;9;17
2146; CR ALIS HAIR LIFE LISO NAT;6;17
9946; CR ALIS HAIR LIFE MEL AMENDOAS;4;17
3322; CR ALIS ORIGEM ERVAS;6;13
3199; CR ALIS ORIGEM FLORES FORTE;4;13
3325; CR ALIS ORIGEM MEL;2;13
5411; CR ALIS SFERA 1KG FORTE;1;54
5348; CR ALIS SFERA 1KG NORMAL;1;54
5020; CR ALIS SFERA FORTE PROF 480GR;3;35
4293; CR ALIS SFERA MANT ABACATE/QUE;8;14
4294; CR ALIS SFERA MANT KARITE/QUER;8;13
4296; CR ALIS SFERA MANT MANGA/QUERA;6;14
1616; CR ALIS SFERA MANTEIGA DE ARGA;4;13
1947; CR ALIS SFERA NORMAL PROF 480G;2;35
31665; CR ASSAD HIPOGLOS ORIGINAL 40;3;29
8080; CR BARBEAR BOZZANO 65G P SENSI;1;8,5
19897; CR BELL CORPUS PES MAOS 200GR ;20;9
25066; CR COLGATE LUMI WHITE CARV ATI;1;12
29483; CR COLGATE PERIOGARD 60G;2;16
20656; CR DE SILICONE BOT HAIR 200ML;1;41
36660; CR DEN COLG ORIG MINT TOTAL;2;8,5
36141; CR DENT CLOSE UP 090G DENTES+B;8;4,5
21821; CR DENT CLOSE-UP LIQUIFRESH;8;6,5
36838; CR DENT COLG TOTAL ORIG MIN 14;2;18,49
35539; CR DENT COLGATE SENSITIVE 090G;1;13,5
12216; CR DENT COLGATE T AC 180G;6;10
27889; CR DENT ORAL B EXT BRANCO 70G;5;6
36306; CR DENT SENSODYNE 100G SENSIBI;1;22,01
18478; CR DENT SENSODYNE 90G LIMP PRO;2;19,8
34686; CR DENT SENSODYNE ANTITART 90;3;18
35198; CR DENT TANDY 050G GEL MORANGO;4;11,5
14291; CR DENTAL CLOSEUP ACCION 90G;7;5,5
12214; CR DENTAL COLGATE MPA 180G;4;10
24829; CR DENTAL COLGATE SENSITIVE 60;10;14
34866; CR DENTAL ORAL B DUPLO ALIVIO;1;13
35846; CR DEP CORPO DEPIROLL 130G HYD;1;36
36717; CR DEP VENUS 150ML SUAVE/MACIE;2;37
35436; CR DES DUO GEL HIDRAMAIS ALGOD;2;17
35434; CR DES DUO GEL HIDRAMAIS MARAC;3;17
35435; CR DES DUO GEL HIDRAMAIS MORAN;2;17
28452; CR DES HERB ALFAZEMA 55G;3;5,5
33560; CR ELSEVE REPARACAO TOTAL 3EM1;3;32
34943; CR ESF FAC ALECRIM 50G;1;13
31171; CR ESFOLIANTE HIDRAMAIS 220G;1;16,01
32384; CR HID DA BELLE;1;25
23649; CR HID PANT BAMBU 600 ML;2;34
33971; CR HID SKALA  1KG MELANCIA;2;13
32063; CR HIDRAT ELSEVE CICATRI 100ML;2;35
27354; CR HIDRAT UREIA 10% 100ML;1;22,5
27303; CR INF TRALALA ANTICARIE 50G;6;6
36068; CR INOAR 1000G 4EM1 PERFECT CU;3;23
35251; CR INOAR 1000G 4EM1 PODER VIT;2;23
35252; CR INOAR 1000G 4EM1 PODER VIT;1;23
35253; CR INOAR 1000G 4EM1 PODER VIT;2;23
30772; CR MAOS E PES REPOS 110G;2;24,5
22474; CR MAOS E PES REPOS C/ UREIA;3;19
20777; CR NIVEA LATA 29G;1;14
22836; CR NOVEX MAX KERATIN 250 ML;2;18,5
16761; CR ORIGEM ABACATE 1KG ;1;10
11904; CR P/ PENTEAR PANT HIDROCAUT;1;17
33227; CR P/ PES C/ OLEO DE COPAIBA;1;24,5
21314; CR P/PES CHEVEUX 120G UREIA;2;17
20224; CR P/PES CHEVEUX 70G UREIA;2;13
22955; CR PANTENE TRAT 270ML HIDRATAC;1;26
17065; CR PARA PENTEAR COCO SOS 300ML;1;17,5
33552; CR PENT ACQUA KIDS CRESPINHOS;2;14
32923; CR PENT DABELLE CACHOS DA ONDA;1;15,5
35024; CR PENT DABELLE CEREJA MANIA;3;15,5
32377; CR PENT DABELLE NUTRITIVO 270G;2;15,5
32926; CR PENT DABELLE SOS CRESCIMENT;2;15,5
36453; CR PENT ELSEVE 250ML COLLAGEN;4;20
13240; CR PENT ELSEVE OLEO 250ML;3;20
32298; CR PENT J BLACKINHO PO 200ML;1;45,5
36397; CR PENT PANTENE 240G MOLECULAR;1;17
35119; CR PENT PANTENE COLAGENO 240G;1;17
21060; CR PENT S LINE SPER NUTRI 300M;2;17,5
23382; CR PENT S. LINE DENIF MAX 1KG;2;37,5
32435; CR PENT S/LINE 1KG KIDS CACHIN;1;37,5
31930; CR PENT S/LINE 300ML BOMBA ULT;1;17,5
29572; CR PENT SL BOMBA FORCA ENGR 30;1;17
31163; CR PENT SL GELAT+ DEF EXTRAORD;2;37,5
34439; CR PENT SL OLEO EXTRAORD UVA+M;1;37,5
17055; CR PENT SOS BOMBA DE VITAMINAS;2;17,5
22041; CR PENT SOSCACHOS MEL 300ML;2;17,5
31158; CR PENTEAR AZEITE 300ML;1;17
21441; CR PENTEAR J&J BABY CACHOS 200;3;47
32766; CR PENTEAR LOLA 500GR;1;39
24445; CR PENTEAR MEU LISINHO KIDS ;1;17,5
24395; CR PENTEAR PANTENE BAMBU 240G;2;17
18362; CR PENTEAR PANTENE HIDRA 240G;2;17
36082; CR PREVENTIVO A RUGAS 50G ABEL;1;36,5
30298; CR REMOVEDOR CUTICULAS REPOS 9;3;12
36454; CR SKALA 1000G FRUTASTICA ACAI;1;13
36455; CR SKALA 1000G FRUTASTICA BANA;2;13
36456; CR SKALA 1000G FRUTASTICA CERE;1;13
32339; CR TRAT C D RECARV 1KG ROSA MO;1;14
22527; CR TRAT DOCTO RICINO NOVEX 1KG;2;28
36457; CR TRAT ELSEVE 300G COLLAGEN L;7;36
15019; CR TRAT ELSEVE 300G OLEO EXTRA;1;28
25569; CR TRAT ELSEVE HIALURI 300G;2;28
33943; CR TRAT ELSEVE HIDRA HIALU 3EM;1;31,5
10787; CR TRAT ELSEVE REPAR T.5 300ML;4;28
36307; CR TRAT NOVEX 0300G DOCTOR RIC;1;11,5
27184; CR TRAT PANTENE COLAGENO 550ML;2;34
29580; CR TRAT SL BOMBA FORCA ENG 300;2;28
23896; CR.ASSAD.HIPOGLOS 40G AMENDOA;1;33
36547; CR.DESO. HIDRAMAIS RESTAURADOR;2;22,01
26042; CR.SEDA TRATAMENTO N S COLAGEN;2;15
34624; CR.TRAT.OX MASCARA COLAGENO..3;4;29
34284; CRAMBERRY 30 CP - G2;1;45
30918; CRANBERRY 60CAPS DUOM;1;35,01
11978; CRE DENTAL SENS R.A 50G;1;15
24081; CRE NIVEA ANTI SINAIS Q10 50ML;1;47
11953; CREATINA 150G PO INTEGRAL;4;68
35150; CREATINA 300G (UNILIFE);2;44
36033; CREATINA PO LT 300 GR SEM SABO;1;97
28555; CREATINE 100G VITAFOR;2;46
28556; CREATINE 300G POTE;1;100
36788; CREME ALISANTE HAIR LIFE LISO;6;20
34743; CREME CALMANTE MULTIRREPARADOR;1;50
32193; CREME COND CAVALO REAL 300ML;1;25
12004; CREME D COLGATE 50GR;3;4
22109; CREME DE BARBEAR BOZZANO HIDRA;1;8,5
34740; CREME DE PENTAR DABELLE;2;15,5
25166; CREME DE PENTEAR ACQUAKIDS 250;1;14
33206; CREME DE PENTEAR DABELLE 270G;2;15,5
26246; CREME DE PENTEAR SOS CACHOS;4;17,5
6847; CREME DE SILICONE 250ML BIOEXT;2;46
35579; CREME DE UREIA 10% 100ML;1;30
8571; CREME DENT COLGATE TRIP ACAO 9;1;6,5
36209; CREME DENTAL ICEFRESH TRADIC 9;7;4
11192; CREME DENTAL MPA 90G;8;6,5
2879; CREME DENTAL TANDY UVA;3;11,5
26232; CREME DEPILATORIO BUCO ARGAN D;1;22
22017; CREME ESFOL PES E MAOS 240G;9;10
22515; CREME FACIAL NOTURNO 100G IMP;3;37
31459; CREME FACIAL ROSA MOSQUETA EPI;2;30
34138; CREME FINALIZADOR DE CRESPOS S;2;64,99
28858; CREME HIDRA RESSECAMENTO 240G;4;11
35783; CREME MAOS 10% UREIA 40G;1;25
30553; CREME MAOS E PES C UREIA 110G;2;24,5
35437; CREME MASSAGEM HIDRAMAIS DRENA;1;35
29785; CREME MULTIFUNCIONAL OH MY;1;24
1765; CREME NIVEA 56GR;6;20,5
35996; CREME ORIGEM 1KG 2EM1 BABOSA;2;10
35994; CREME ORIGEM 1KG 2EM1 MELANCIA;4;10
35995; CREME ORIGEM 1KG 2EM1 MORANGO;2;10
5380; CREME P/PENT ELSEVE REP TOTAL;4;20
7485; CREME P/PENT SALON VIOLET 250G;1;13
4042; CREME P/RACHADURA MURIEL 150GR;2;15,5
21208; CREME PENT RICINO QUER 300ML;1;17,5
23833; CREME PENTEAR 200GR - YAMASTER;1;7
34489; CREME PENTEAR 550G DABELLE CAC;3;22
33559; CREME PENTEAR ELSEVE 3 EM 1 OL;1;36
24438; CREME PENTEAR EXTRA LISO PLUS ;3;13
6654; CREME RELAXANTE AMACIHAIR TRAD;1;36
36548; CREME RESTAURADOR HIDRAMAIS PE;1;24
6065; CREME TRAT NOVEX 1KG REPOSITOR;2;26
6464; CREME TRAT NOVEX 400G REP.DE M;3;15
23729; CREME TRATAMENTO CERAMIDAS 1KG;1;13
2295; CREME TRIM 65GR;1;27
24028; CREME YAMASTEROL 900ML;1;26
26487; CREME YAMASTEROL BCO 320G;1;12
34781; CREMER JUMBIN P 18;5;16
6586; CREVAGIN CR VAG 40G+APLIC;1;56,07
28389; CRM PENT SOS CACH KIDS NUTRIC;2;17,5
297; CROMOLERG 2% COLIRIO 5ML;1;18
298; CROMOLERG 4% COLIRIO 5ML;1;22,78
299; CRONOBE 5000MG INJ C/2 AP;3;46,07
29928; CRONOBE COMPLEX INJ 3AMP;1;27,81
28082; CRONOCOR 12,5 MG C/30 COMP;2;27,78
28084; CRONOCOR 6,25 C/30 COMP;1;27,78
27157; CTT SKALA AMIDO DE MILHO 1K;2;13
35399; CULTURELLE PROBIOT MAXX C 7 CA;1;96
29920; CURATEC AGE 100ML   OLEO GIRAS;1;35
26802; CURATIVO  CREMER XXG 8UNIDADE;3;14
25541; CURATIVO ADVANCED ACNES/ESP CR;6;21
35354; CURATIVO CREMER A PROVA AGUA;1;14
36606; CURATIVO HIDROCOLOIDE C/ESPUMA;1;104,01
8705; CURATIVO TRANSP.REDONDO CREMER;1;5,5
28626; CURC C/30 COMP CURCUMA;1;185
31498; CURCUMA GOLDEN C/60CP;1;60
29921; CURCUMA PLUS 500MG 30CP *CMP30;1;56
29922; CURCUMA PLUS 60 CAPSULAS 500MG;3;97
300; CUTISANOL GEL 100G;1;75,57
301; CUTISANOL TALCO 150G;1;58,56
614; CYLOCORT COLIRIO 5ML;1;43,05
16707; CYLOCORT POM 3,5G ;1;42,52
12644; CYMBI 30 MG C/ 30 CAPS;1;76,51
15801; CYMBI 30MG 60CAP C1 EMS;1;134,53
13197; CYMBI 60MG C/ 30CAPS;1;150,34
238; CYSTEX C/24 DRAGEAS;2;51,23
31813; D COL GIOVANNA BABY 260ML BLUE;2;30
31502; D COL PHYTODERM FEM 250ML ALFA;1;15
32936; DA BELLE SELAGEM;2;32
33817; DABELLE ATIV CACHOS 270ML;2;20
32924; DABELLE CR PENT LISO 270G;2;15,5
32925; DABELLE CR PENT RESGATA 270G;2;15,5
32932; DABELLE CR TRATAM LISO 400GRS;3;20
32798; DABELLE CREME P/ PENTEAR ABACA;2;22
34494; DABELLE FINALI 180ML TRATA RES;3;32
33208; DABELLE MC 400G ABACATE;1;20
32931; DABELLE MC 400G CACHOS;3;20
32934; DABELLE MC 400G SOS;3;20
32930; DABELLE SH+CD CRESC;2;22
10304; DAFORIN 20MG 30COMP;1;104,07
5094; DAFORIN GOTAS 20ML;2;78,57
9436; DALYNE C/21 COMP;1;76,91
27755; DANOS VORAZES MASCARA ;2;51
35877; DAPAGLIFLOZINA 10MG 30CPR;38;77,1
17067; DARAPRIM 25MG 30CPR ;2;4,23
15911; DASTENE 0,5MG X 30 ;1;137,7
15838; DAYVIT KIDS SUSPENSAO 120ML;1;61
33093; DBRIZ 30G POM DERM BIS ESP;1;80,21
34374; DBRIZ POM DERM 15G   SUPE %D;1;40,46
36315; DBRIZ UNO POM 0,6U G C 1 BIS 1;1;25,09
36027; DC ENXAG BUCAL S/ALCOOL STITCH;2;17,5
36026; DC GEL DENTAL INF C/FLUOR STIT;1;8,5
34081; DC HERBISSIMO MONO ACID HIALUR;4;11
311; DECADRON 4MG COMP C/10 CPS;1;27,61
312; DECADRON 4MG INJ 2,4ML;3;24,12
322; DECADRON COLIRIO 5ML;1;18,97
313; DECADRON ELIXIR 120ML;1;38,37
314; DECADRON INJ 2MG/ML C/2AMP 1ML;2;19,48
323; DECADRON NASAL 20ML;2;43,88
506; DECONGEX ENV C/4 COMP;32;11,78
36736; DECONGEX GRIPE 400+4+4MG 10CAP;1;18
1851; DECONGEX PLUS C/12 CPS REV;2;34,76
1850; DECONGEX PLUS GTS;5;19,65
1849; DECONGEX PLUS XPE 120NL;11;28,92
35342; DECONTOSSE 40MG ML SUSP 100ML;2;32,06
12666; DEFLAZACORTE 30MG C/ 10 COMP;1;127,09
10573; DEFLAZACORTE 6MG C/ 20;2;67,92
33906; DEFRIZANTE OX 200 ML VITA GLOW;1;45
33220; DEFRIZANTE TRATAMENTO 190ML DA;1;26
20480; DELLER 100MG C 30 COMP C1;1;111,25
21287; DELLER 50MG C 30 COMP C1;1;91,7
24236; DEMEDROX 150MG/ML INJ GENOM;2;56,25
16284; DENTALFIX 40G MENTA;1;32
